Data Source in SDW: null
,BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
,,obs. status
2023Jan,15299900,Provisional value (P)
2022Dec,15271464,Normal value (A)
2022Nov,15328527,Normal value (A)
2022Oct,15373696,Normal value (A)
2022Sep,15444122,Normal value (A)
2022Aug,15300105,Normal value (A)
2022Jul,15177995,Normal value (A)
2022Jun,15080131,Normal value (A)
2022May,15000637,Normal value (A)
2022Apr,14961271,Normal value (A)
2022Mar,14895618,Normal value (A)
2022Feb,14836487,Normal value (A)
2022Jan,14761134,Normal value (A)
2021Dec,14676234,Normal value (A)
2021Nov,14590780,Normal value (A)
2021Oct,14539142,Normal value (A)
2021Sep,14467320,Normal value (A)
2021Aug,14357504,Normal value (A)
2021Jul,14284776,Normal value (A)
2021Jun,14200264,Normal value (A)
2021May,14116289,Normal value (A)
2021Apr,14040983,Normal value (A)
2021Mar,13977137,Normal value (A)
2021Feb,13888681,Normal value (A)
2021Jan,13815426,Normal value (A)
2020Dec,13716117,Normal value (A)
2020Nov,13617836,Normal value (A)
2020Oct,13527421,Normal value (A)
2020Sep,13453769,Normal value (A)
2020Aug,13321056,Normal value (A)
2020Jul,13275257,Normal value (A)
2020Jun,13213104,Normal value (A)
2020May,13124265,Normal value (A)
2020Apr,12956683,Normal value (A)
2020Mar,12774603,Normal value (A)
2020Feb,12480608,Normal value (A)
2020Jan,12405295,Normal value (A)
2019Dec,12372998,Normal value (A)
2019Nov,12373573,Normal value (A)
2019Oct,12324366,Normal value (A)
2019Sep,12270047,Normal value (A)
2019Aug,12226852,Normal value (A)
2019Jul,12121637,Normal value (A)
2019Jun,12068759,Normal value (A)
2019May,12014420,Normal value (A)
2019Apr,11951971,Normal value (A)
2019Mar,11883720,Normal value (A)
2019Feb,11797421,Normal value (A)
2019Jan,11733915,Normal value (A)
2018Dec,11699965,Normal value (A)
2018Nov,11663952,Normal value (A)
2018Oct,11613429,Normal value (A)
2018Sep,11564787,Normal value (A)
2018Aug,11506989,Normal value (A)
2018Jul,11486538,Normal value (A)
2018Jun,11485063,Normal value (A)
2018May,11401970,Normal value (A)
2018Apr,11323734,Normal value (A)
2018Mar,11283544,Normal value (A)
2018Feb,11273525,Normal value (A)
2018Jan,11257672,Normal value (A)
2017Dec,11204696,Normal value (A)
2017Nov,11172754,Normal value (A)
2017Oct,11140042,Normal value (A)
2017Sep,11097985,Normal value (A)
2017Aug,11065231,Normal value (A)
2017Jul,11005244,Normal value (A)
2017Jun,10981536,Normal value (A)
2017May,10925684,Normal value (A)
2017Apr,10912084,Normal value (A)
2017Mar,10880427,Normal value (A)
2017Feb,10815353,Normal value (A)
2017Jan,10760500,Normal value (A)
2016Dec,10710106,Normal value (A)
2016Nov,10662474,Normal value (A)
2016Oct,10594607,Normal value (A)
2016Sep,10569462,Normal value (A)
2016Aug,10531606,Normal value (A)
2016Jul,10504394,Normal value (A)
2016Jun,10446135,Normal value (A)
2016May,10423675,Normal value (A)
2016Apr,10381369,Normal value (A)
2016Mar,10341297,Normal value (A)
2016Feb,10321171,Normal value (A)
2016Jan,10271770,Normal value (A)
2015Dec,10216660,Normal value (A)
2015Nov,10183229,Normal value (A)
2015Oct,10124830,Normal value (A)
2015Sep,10060593,Normal value (A)
2015Aug,10033446,Normal value (A)
2015Jul,10010866,Normal value (A)
2015Jun,9944527,Normal value (A)
2015May,9912431,Normal value (A)
2015Apr,9863429,Normal value (A)
2015Mar,9816599,Normal value (A)
2015Feb,9761662,Normal value (A)
2015Jan,9745468,Normal value (A)
2014Dec,9676555,Normal value (A)
2014Nov,9561674,Normal value (A)
2014Oct,9499658,Normal value (A)
2014Sep,9483430,Normal value (A)
2014Aug,9436162,Normal value (A)
2014Jul,9389631,Normal value (A)
2014Jun,9359589,Normal value (A)
2014May,9337918,Normal value (A)
2014Apr,9287801,Normal value (A)
2014Mar,9285079,Normal value (A)
2014Feb,9267197,Normal value (A)
2014Jan,9238732,Normal value (A)
2013Dec,9212977,Normal value (A)
2013Nov,9234336,Normal value (A)
2013Oct,9218377,Normal value (A)
2013Sep,9198967,Normal value (A)
2013Aug,9183535,Normal value (A)
2013Jul,9148110,Normal value (A)
2013Jun,9125335,Normal value (A)
2013May,9129711,Normal value (A)
2013Apr,9109515,Normal value (A)
2013Mar,9081543,Normal value (A)
2013Feb,9048349,Normal value (A)
2013Jan,9013246,Normal value (A)
2012Dec,8998958,Normal value (A)
2012Nov,8974214,Normal value (A)
2012Oct,8948027,Normal value (A)
2012Sep,8877475,Normal value (A)
2012Aug,8845969,Normal value (A)
2012Jul,8830667,Normal value (A)
2012Jun,8775598,Normal value (A)
2012May,8746560,Normal value (A)
2012Apr,8705181,Normal value (A)
2012Mar,8722473,Normal value (A)
2012Feb,8680079,Normal value (A)
2012Jan,8644925,Normal value (A)
2011Dec,8606661,Normal value (A)
2011Nov,8587775,Normal value (A)
2011Oct,8572574,Normal value (A)
2011Sep,8592984,Normal value (A)
2011Aug,8558283,Normal value (A)
2011Jul,8511835,Normal value (A)
2011Jun,8492392,Normal value (A)
2011May,8482052,Normal value (A)
2011Apr,8455827,Normal value (A)
2011Mar,8456873,Normal value (A)
2011Feb,8445338,Normal value (A)
2011Jan,8436323,Normal value (A)
2010Dec,8422233,Normal value (A)
2010Nov,8404347,Normal value (A)
2010Oct,8387810,Normal value (A)
2010Sep,8370017,Normal value (A)
2010Aug,8368518,Normal value (A)
2010Jul,8329899,Normal value (A)
2010Jun,8312975,Normal value (A)
2010May,8283507,Normal value (A)
2010Apr,8264154,Normal value (A)
2010Mar,8231165,Normal value (A)
2010Feb,8229462,Normal value (A)
2010Jan,8220701,Normal value (A)
2009Dec,8208711,Normal value (A)
2009Nov,8180443,Normal value (A)
2009Oct,8194428,Normal value (A)
2009Sep,8191538,Normal value (A)
2009Aug,8176771,Normal value (A)
2009Jul,8183299,Normal value (A)
2009Jun,8154141,Normal value (A)
2009May,8141241,Normal value (A)
2009Apr,8147389,Normal value (A)
2009Mar,8094323,Normal value (A)
2009Feb,8111334,Normal value (A)
2009Jan,8087758,Normal value (A)
2008Dec,8041538,Normal value (A)
2008Nov,8034441,Normal value (A)
2008Oct,8009622,Normal value (A)
2008Sep,7868040,Normal value (A)
2008Aug,7788144,Normal value (A)
2008Jul,7751938,Normal value (A)
2008Jun,7699352,Normal value (A)
2008May,7673421,Normal value (A)
2008Apr,7616619,Normal value (A)
2008Mar,7536726,Normal value (A)
2008Feb,7504851,Normal value (A)
2008Jan,7441484,Normal value (A)
2007Dec,7355442,Normal value (A)
2007Nov,7320781,Normal value (A)
2007Oct,7267619,Normal value (A)
2007Sep,7164700,Normal value (A)
2007Aug,7099209,Normal value (A)
2007Jul,7057926,Normal value (A)
2007Jun,6985998,Normal value (A)
2007May,6918862,Normal value (A)
2007Apr,6850529,Normal value (A)
2007Mar,6824746,Normal value (A)
2007Feb,6739798,Normal value (A)
2007Jan,6705335,Normal value (A)
2006Dec,6663696,Normal value (A)
2006Nov,6555358,Normal value (A)
2006Oct,6500209,Normal value (A)
2006Sep,6487413,Normal value (A)
2006Aug,6407669,Normal value (A)
2006Jul,6369005,Normal value (A)
2006Jun,6362898,Normal value (A)
2006May,6317689,Normal value (A)
2006Apr,6295738,Normal value (A)
2006Mar,6221565,Normal value (A)
2006Feb,6176009,Normal value (A)
2006Jan,6124714,Normal value (A)
2005Dec,6093186,Normal value (A)
2005Nov,6027064,Normal value (A)
2005Oct,6001860,Normal value (A)
2005Sep,5980748,Normal value (A)
2005Aug,5914509,Normal value (A)
2005Jul,5885266,Normal value (A)
2005Jun,5824959,Normal value (A)
2005May,5762299,Normal value (A)
2005Apr,5721454,Normal value (A)
2005Mar,5679341,Normal value (A)
2005Feb,5653315,Normal value (A)
2005Jan,5623288,Normal value (A)
2004Dec,5573540,Normal value (A)
2004Nov,5542737,Normal value (A)
2004Oct,5518152,Normal value (A)
2004Sep,5484081,Normal value (A)
2004Aug,5438154,Normal value (A)
2004Jul,5421035,Normal value (A)
2004Jun,5385279,Normal value (A)
2004May,5355734,Normal value (A)
2004Apr,5341144,Normal value (A)
2004Mar,5316424,Normal value (A)
2004Feb,5281581,Normal value (A)
2004Jan,5259980,Normal value (A)
2003Dec,5238327,Normal value (A)
2003Nov,5217471,Normal value (A)
2003Oct,5200531,Normal value (A)
2003Sep,5167505,Normal value (A)
2003Aug,5160933,Normal value (A)
2003Jul,5123636,Normal value (A)
2003Jun,5096544,Normal value (A)
2003May,5088934,Normal value (A)
2003Apr,5048210,Normal value (A)
2003Mar,5000011,Normal value (A)
2003Feb,4968610,Normal value (A)
2003Jan,4922129,Normal value (A)
2002Dec,4915147,Normal value (A)
2002Nov,4890882,Normal value (A)
2002Oct,4847022,Normal value (A)
2002Sep,4821013,Normal value (A)
2002Aug,4785365,Normal value (A)
2002Jul,4761547,Normal value (A)
2002Jun,4735880,Normal value (A)
2002May,4719009,Normal value (A)
2002Apr,4697507,Normal value (A)
2002Mar,4662027,Normal value (A)
2002Feb,4650397,Normal value (A)
2002Jan,4645232,Normal value (A)
2001Dec,4615510,Normal value (A)
2001Nov,4588671,Normal value (A)
2001Oct,4553696,Normal value (A)
2001Sep,4533918,Normal value (A)
2001Aug,4501923,Normal value (A)
2001Jul,4481145,Normal value (A)
2001Jun,4467986,Normal value (A)
2001May,4429759,Normal value (A)
2001Apr,4412550,Normal value (A)
2001Mar,4382791,Normal value (A)
2001Feb,4363192,Normal value (A)
2001Jan,4340387,Normal value (A)
2000Dec,4226952,Normal value (A)
2000Nov,4226830,Normal value (A)
2000Oct,4225858,Normal value (A)
2000Sep,4212330,Normal value (A)
2000Aug,4209465,Normal value (A)
2000Jul,4183450,Normal value (A)
2000Jun,4171277,Normal value (A)
2000May,4168507,Normal value (A)
2000Apr,4174322,Normal value (A)
2000Mar,4149339,Normal value (A)
2000Feb,4136412,Normal value (A)
2000Jan,4121606,Normal value (A)
1999Dec,4078868,Normal value (A)
1999Nov,4066747,Normal value (A)
1999Oct,4052935,Normal value (A)
1999Sep,4029253,Normal value (A)
1999Aug,4024225,Normal value (A)
1999Jul,4023726,Normal value (A)
1999Jun,3988595,Normal value (A)
1999May,3968746,Normal value (A)
1999Apr,3952443,Normal value (A)
1999Mar,3930847,Normal value (A)
1999Feb,3905442,Normal value (A)
1999Jan,3930982,Normal value (A)
1998Dec,3848054,Normal value (A)
1998Nov,3805327,Normal value (A)
1998Oct,3776275,Normal value (A)
1998Sep,3756213,Normal value (A)
1998Aug,3747240,Normal value (A)
1998Jul,3735036,Normal value (A)
1998Jun,3742800,Normal value (A)
1998May,3718207,Normal value (A)
1998Apr,3695000,Normal value (A)
1998Mar,3666674,Normal value (A)
1998Feb,3656642,Normal value (A)
1998Jan,3638426,Normal value (A)
1997Dec,3615677,Normal value (A)
1997Nov,3600773,Normal value (A)
1997Oct,3595263,Normal value (A)
1997Sep,3570962,Normal value (A)
1997Aug,3558109,Normal value (A)
1997Jul,3548645,Normal value (A)
1997Jun,3533982,Normal value (A)
1997May,3514659,Normal value (A)
1997Apr,3498629,Normal value (A)
1997Mar,3496684,Normal value (A)
1997Feb,3493517,Normal value (A)
1997Jan,3482856,Normal value (A)
1996Dec,3485231,Normal value (A)
1996Nov,3455104,Normal value (A)
1996Oct,3436406,Normal value (A)
1996Sep,3430659,Normal value (A)
1996Aug,3412208,Normal value (A)
1996Jul,3397399,Normal value (A)
1996Jun,3382265,Normal value (A)
1996May,3368180,Normal value (A)
1996Apr,3358564,Normal value (A)
1996Mar,3337370,Normal value (A)
1996Feb,3329074,Normal value (A)
1996Jan,3319911,Normal value (A)
1995Dec,3312463,Normal value (A)
1995Nov,3280691,Normal value (A)
1995Oct,3269129,Normal value (A)
1995Sep,3256397,Normal value (A)
1995Aug,3233209,Normal value (A)
1995Jul,3220407,Normal value (A)
1995Jun,3212302,Normal value (A)
1995May,3197971,Normal value (A)
1995Apr,3182541,Normal value (A)
1995Mar,3176992,Normal value (A)
1995Feb,3172336,Normal value (A)
1995Jan,3158136,Normal value (A)
1994Dec,3159101,Normal value (A)
1994Nov,3167131,Normal value (A)
1994Oct,3169833,Normal value (A)
1994Sep,3162985,Normal value (A)
1994Aug,3157950,Normal value (A)
1994Jul,3155590,Normal value (A)
1994Jun,3145542,Normal value (A)
1994May,3135071,Normal value (A)
1994Apr,3133464,Normal value (A)
1994Mar,3125371,Normal value (A)
1994Feb,3101072,Normal value (A)
1994Jan,3085865,Normal value (A)
1993Dec,3067025,Normal value (A)
1993Nov,3037935,Normal value (A)
1993Oct,3013455,Normal value (A)
1993Sep,2989060,Normal value (A)
1993Aug,2977872,Normal value (A)
1993Jul,2962145,Normal value (A)
1993Jun,2950419,Normal value (A)
1993May,2937506,Normal value (A)
1993Apr,2918598,Normal value (A)
1993Mar,2905799,Normal value (A)
1993Feb,2876975,Normal value (A)
1993Jan,2861813,Normal value (A)
1992Dec,2853356,Normal value (A)
1992Nov,2860628,Normal value (A)
1992Oct,2839113,Normal value (A)
1992Sep,2836589,Normal value (A)
1992Aug,2803439,Normal value (A)
1992Jul,2792853,Normal value (A)
1992Jun,2784130,Normal value (A)
1992May,2778249,Normal value (A)
1992Apr,2764811,Normal value (A)
1992Mar,2747609,Normal value (A)
1992Feb,2729621,Normal value (A)
1992Jan,2720803,Normal value (A)
1991Dec,2722085,Normal value (A)
1991Nov,2704447,Normal value (A)
1991Oct,2683318,Normal value (A)
1991Sep,2672023,Normal value (A)
1991Aug,2665240,Normal value (A)
1991Jul,2650528,Normal value (A)
1991Jun,2639742,Normal value (A)
1991May,2630099,Normal value (A)
1991Apr,2615487,Normal value (A)
1991Mar,2601696,Normal value (A)
1991Feb,2601663,Normal value (A)
1991Jan,2583655,Normal value (A)
1990Dec,2573883,Normal value (A)
1990Nov,2560619,Normal value (A)
1990Oct,2548320,Normal value (A)
1990Sep,2539282,Normal value (A)
1990Aug,2521801,Normal value (A)
1990Jul,2506891,Normal value (A)
1990Jun,2494707,Normal value (A)
1990May,2386578,Normal value (A)
1990Apr,2378067,Normal value (A)
1990Mar,2371264,Normal value (A)
1990Feb,2368976,Normal value (A)
1990Jan,2360748,Normal value (A)
1989Dec,2343345,Normal value (A)
1989Nov,2326287,Normal value (A)
1989Oct,2312607,Normal value (A)
1989Sep,2303555,Normal value (A)
1989Aug,2292824,Normal value (A)
1989Jul,2280165,Normal value (A)
1989Jun,2263203,Normal value (A)
1989May,2240671,Normal value (A)
1989Apr,2224430,Normal value (A)
1989Mar,2222161,Normal value (A)
1989Feb,2197853,Normal value (A)
1989Jan,2185797,Normal value (A)
1988Dec,2173774,Normal value (A)
1988Nov,2167024,Normal value (A)
1988Oct,2154925,Normal value (A)
1988Sep,2139817,Normal value (A)
1988Aug,2131825,Normal value (A)
1988Jul,2116901,Normal value (A)
1988Jun,2100900,Normal value (A)
1988May,2090533,Normal value (A)
1988Apr,2076081,Normal value (A)
1988Mar,2057427,Normal value (A)
1988Feb,2046281,Normal value (A)
1988Jan,2037581,Normal value (A)
1987Dec,2027444,Normal value (A)
1987Nov,2024128,Normal value (A)
1987Oct,2016290,Normal value (A)
1987Sep,2002177,Normal value (A)
1987Aug,1992865,Normal value (A)
1987Jul,1985755,Normal value (A)
1987Jun,1975973,Normal value (A)
1987May,1962800,Normal value (A)
1987Apr,1952955,Normal value (A)
1987Mar,1940390,Normal value (A)
1987Feb,1927091,Normal value (A)
1987Jan,1918425,Normal value (A)
1986Dec,1903734,Normal value (A)
1986Nov,1896941,Normal value (A)
1986Oct,1889296,Normal value (A)
1986Sep,1872837,Normal value (A)
1986Aug,1858580,Normal value (A)
1986Jul,1847233,Normal value (A)
1986Jun,1832456,Normal value (A)
1986May,1824547,Normal value (A)
1986Apr,1815354,Normal value (A)
1986Mar,1818276,Normal value (A)
1986Feb,1800828,Normal value (A)
1986Jan,1792537,Normal value (A)
1985Dec,1784034,Normal value (A)
1985Nov,1760581,Normal value (A)
1985Oct,1755357,Normal value (A)
1985Sep,1746936,Normal value (A)
1985Aug,1738364,Normal value (A)
1985Jul,1731220,Normal value (A)
1985Jun,1722006,Normal value (A)
1985May,1715317,Normal value (A)
1985Apr,1709983,Normal value (A)
1985Mar,1700138,Normal value (A)
1985Feb,1691806,Normal value (A)
1985Jan,1676415,Normal value (A)
1984Dec,1661882,Normal value (A)
1984Nov,1649653,Normal value (A)
1984Oct,1638411,Normal value (A)
1984Sep,1631220,Normal value (A)
1984Aug,1617813,Normal value (A)
1984Jul,1603857,Normal value (A)
1984Jun,1591965,Normal value (A)
1984May,1583749,Normal value (A)
1984Apr,1568820,Normal value (A)
1984Mar,1559014,Normal value (A)
1984Feb,1549774,Normal value (A)
1984Jan,1543563,Normal value (A)
1983Dec,1537092,Normal value (A)
1983Nov,1526253,Normal value (A)
1983Oct,1513481,Normal value (A)
1983Sep,1503408,Normal value (A)
1983Aug,1498206,Normal value (A)
1983Jul,1486582,Normal value (A)
1983Jun,1474969,Normal value (A)
1983May,1464343,Normal value (A)
1983Apr,1453878,Normal value (A)
1983Mar,1443423,Normal value (A)
1983Feb,1435898,Normal value (A)
1983Jan,1425088,Normal value (A)
1982Dec,1414556,Normal value (A)
1982Nov,1401761,Normal value (A)
1982Oct,1389853,Normal value (A)
1982Sep,1382740,Normal value (A)
1982Aug,1372472,Normal value (A)
1982Jul,1358609,Normal value (A)
1982Jun,1347524,Normal value (A)
1982May,1334764,Normal value (A)
1982Apr,1326733,Normal value (A)
1982Mar,1313351,Normal value (A)
1982Feb,1299092,Normal value (A)
1982Jan,1287848,Normal value (A)
1981Dec,1273805,Normal value (A)
1981Nov,1264026,Normal value (A)
1981Oct,1253958,Normal value (A)
1981Sep,1246150,Normal value (A)
1981Aug,1234000,Normal value (A)
1981Jul,1230470,Normal value (A)
1981Jun,1223076,Normal value (A)
1981May,1215847,Normal value (A)
1981Apr,1204188,Normal value (A)
1981Mar,1194414,Normal value (A)
1981Feb,1186668,Normal value (A)
1981Jan,1175008,Normal value (A)
1980Dec,1165452,Normal value (A)
1980Nov,1160031,Normal value (A)
1980Oct,1145159,Normal value (A)
1980Sep,1133419,Normal value (A)
1980Aug,1127098,Normal value (A)
1980Jul,1120452,Normal value (A)
1980Jun,1109205,Normal value (A)
1980May,1100958,Normal value (A)
1980Apr,1093263,Normal value (A)
1980Mar,1088333,Normal value (A)
1980Feb,1078232,Normal value (A)
1980Jan,1070496,Normal value (A)
