Data Source in SDW: null
,BSI.M.U2.Y.V.M30.X.1.U2.2300.Z01.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M3, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
,,obs. status
2023Jan,16122353,Provisional value (P)
2022Dec,16091741,Normal value (A)
2022Nov,16144638,Normal value (A)
2022Oct,16140971,Normal value (A)
2022Sep,16211491,Normal value (A)
2022Aug,16057784,Normal value (A)
2022Jul,15927591,Normal value (A)
2022Jun,15869811,Normal value (A)
2022May,15780412,Normal value (A)
2022Apr,15736503,Normal value (A)
2022Mar,15654709,Normal value (A)
2022Feb,15595179,Normal value (A)
2022Jan,15536920,Normal value (A)
2021Dec,15463433,Normal value (A)
2021Nov,15392627,Normal value (A)
2021Oct,15325887,Normal value (A)
2021Sep,15222021,Normal value (A)
2021Aug,15127430,Normal value (A)
2021Jul,15057202,Normal value (A)
2021Jun,14957829,Normal value (A)
2021May,14873949,Normal value (A)
2021Apr,14790753,Normal value (A)
2021Mar,14725064,Normal value (A)
2021Feb,14641536,Normal value (A)
2021Jan,14571283,Normal value (A)
2020Dec,14449274,Normal value (A)
2020Nov,14332462,Normal value (A)
2020Oct,14235285,Normal value (A)
2020Sep,14156099,Normal value (A)
2020Aug,14005755,Normal value (A)
2020Jul,13975317,Normal value (A)
2020Jun,13901701,Normal value (A)
2020May,13797061,Normal value (A)
2020Apr,13626000,Normal value (A)
2020Mar,13471043,Normal value (A)
2020Feb,13138940,Normal value (A)
2020Jan,13043515,Normal value (A)
2019Dec,12977013,Normal value (A)
2019Nov,13005660,Normal value (A)
2019Oct,12960266,Normal value (A)
2019Sep,12909915,Normal value (A)
2019Aug,12873566,Normal value (A)
2019Jul,12766303,Normal value (A)
2019Jun,12709382,Normal value (A)
2019May,12659983,Normal value (A)
2019Apr,12593371,Normal value (A)
2019Mar,12524723,Normal value (A)
2019Feb,12444274,Normal value (A)
2019Jan,12386283,Normal value (A)
2018Dec,12359586,Normal value (A)
2018Nov,12302171,Normal value (A)
2018Oct,12252720,Normal value (A)
2018Sep,12195445,Normal value (A)
2018Aug,12150597,Normal value (A)
2018Jul,12123859,Normal value (A)
2018Jun,12138659,Normal value (A)
2018May,12049198,Normal value (A)
2018Apr,11984657,Normal value (A)
2018Mar,11934961,Normal value (A)
2018Feb,11915288,Normal value (A)
2018Jan,11901504,Normal value (A)
2017Dec,11855689,Normal value (A)
2017Nov,11844179,Normal value (A)
2017Oct,11803413,Normal value (A)
2017Sep,11775875,Normal value (A)
2017Aug,11734416,Normal value (A)
2017Jul,11664716,Normal value (A)
2017Jun,11646861,Normal value (A)
2017May,11605182,Normal value (A)
2017Apr,11579681,Normal value (A)
2017Mar,11578972,Normal value (A)
2017Feb,11490652,Normal value (A)
2017Jan,11442412,Normal value (A)
2016Dec,11385558,Normal value (A)
2016Nov,11334555,Normal value (A)
2016Oct,11264768,Normal value (A)
2016Sep,11242042,Normal value (A)
2016Aug,11201555,Normal value (A)
2016Jul,11179853,Normal value (A)
2016Jun,11115558,Normal value (A)
2016May,11083580,Normal value (A)
2016Apr,11038019,Normal value (A)
2016Mar,10985686,Normal value (A)
2016Feb,10973057,Normal value (A)
2016Jan,10911864,Normal value (A)
2015Dec,10846595,Normal value (A)
2015Nov,10835147,Normal value (A)
2015Oct,10779228,Normal value (A)
2015Sep,10696508,Normal value (A)
2015Aug,10664538,Normal value (A)
2015Jul,10654777,Normal value (A)
2015Jun,10581476,Normal value (A)
2015May,10563457,Normal value (A)
2015Apr,10543681,Normal value (A)
2015Mar,10477117,Normal value (A)
2015Feb,10432199,Normal value (A)
2015Jan,10403252,Normal value (A)
2014Dec,10333239,Normal value (A)
2014Nov,10186887,Normal value (A)
2014Oct,10122680,Normal value (A)
2014Sep,10101675,Normal value (A)
2014Aug,10052598,Normal value (A)
2014Jul,10005795,Normal value (A)
2014Jun,9972115,Normal value (A)
2014May,9940324,Normal value (A)
2014Apr,9880078,Normal value (A)
2014Mar,9892599,Normal value (A)
2014Feb,9892126,Normal value (A)
2014Jan,9872374,Normal value (A)
